name,Total Positive cycles,Total Negative cycles,Frustration Boolean,Plasticity,JSD RACIPE,no signal FrusB,Frustration RACIPE,no signal FrusR
SNAI1-CDH1-2-1,5378,418,0.116925135,0.9583,0.106162568,0.091363004,0.502893555,0.48358215
delta-NP63-alpha-GRHL2-1-0,5377,416,0.101163,0.9504,0.103062,0.084476,0.503485329,0.488224879
TWIST1-ZEB2-1-2,4776,1020,0.117992424,0.958,0.117150137,0.104547314,0.48884338,0.472085214
TWIST2-CDH1-2-0,5378,418,0.107341542,0.9564,0.103543287,0.090735531,0.497223266,0.482954269
miR-101-ZEB1-2-0,4837,391,0.108062112,0.9585,0.111212845,0.091809524,0.501684097,0.488938728
miR-101-ZEB1-2-1,4864,932,0.130706368,0.9501,0.117795873,0.118161253,0.504999315,0.49394469
GRHL2-delta-NP63-alpha-1-0,5376,6,0.092381715,0.9604,0.098966563,0.075370611,0.49730835,0.487738779
TGF-beta-GSC-1-2,2561,3235,0.156264358,0.7735,0.244951971,0.154482133,0.493058808,0.479663313
TWIST2-ZEB2-1-2,4671,1125,0.119961656,0.957,0.117317639,0.105959163,0.497669835,0.483577836
SNAI2-TWIST2-1-0,3588,252,0.102484041,0.9417,0.118430478,0.084472199,0.497463116,0.483079329
SNAI2-TWIST2-1-2,3754,2042,0.121279858,0.8987,0.3531094,0.107868386,0.502694472,0.49014155
SNAI1-SNAI1-2-1,5379,417,0.104161791,0.97,0.111974995,0.084840933,0.487145264,0.469524937
KLF8-CDH1-2-1,5378,418,0.117557116,0.958,0.105151226,0.091726199,0.501414738,0.483324725
OVOL2-TGF-beta-2-0,4764,418,0.11189152,0.9583,0.103312361,0.096819016,0.501221596,0.488194493
OVOL2-TGF-beta-2-1,4764,1032,0.119580074,0.9344,0.113608405,0.107405531,0.505268852,0.494098619
ZEB1-ZEB1-1-2,5377,419,0.10385352,0.9485,0.094214689,0.089679347,0.507598347,0.496453678
SNAI2-miR-101-2-1,3876,1920,0.123611788,0.9412,0.465653207,0.109949458,0.466383398,0.446763038
TWIST1-SNAI1-1-0,4525,351,0.089547393,0.9599,0.109475279,0.073231531,0.501697831,0.488809098
SNAI1-FOXC2-1-2,5055,741,0.121061675,0.9559,0.163944729,0.10782409,0.508058051,0.497835544
miR-34a-SNAI1-2-1,5194,602,0.119263606,0.9151,0.128921638,0.107326071,0.496652175,0.482827074
miR-34a-SNAI2-2-0,4724,418,0.113065313,0.9498,0.109036769,0.097918039,0.49739221,0.482967271
SNAI1-VIM-1-0,5378,418,0.107825483,0.957,0.118409809,0.091604323,0.498119587,0.484538557
TWIST1-CDH1-2-0,5378,418,0.10583082,0.962,0.10137642,0.088755358,0.499502423,0.482946137
TWIST1-CDH1-2-1,5378,418,0.11731963,0.9584,0.103066737,0.092059442,0.502245978,0.483563464
miR-200a-TGF-beta-2-0,4079,311,0.110946778,0.9525,0.104600296,0.095817941,0.501534704,0.488607957
miR-200a-TGF-beta-2-1,4186,1610,0.117974335,0.9334,0.137759352,0.10545469,0.504787729,0.493421559
miR-200c-ZEB1-2-0,4839,390,0.098974286,0.9537,0.10085617,0.082339048,0.501856861,0.488972186
miR-200c-ZEB1-2-1,4867,929,0.112654883,0.9483,0.099770739,0.099998546,0.506236854,0.495120381
miR-200a-ZEB1-2-0,4839,390,0.097665331,0.9584,0.101298394,0.080916118,0.492129224,0.47608204
miR-200a-ZEB1-2-1,4867,929,0.113563943,0.954,0.101321553,0.10067345,0.487239429,0.470072777
ZEB1-OVOL2-2-0,4246,416,0.116219,0.9495,0.106270637,0.099417333,0.491494905,0.476748171
ZEB1-OVOL2-2-1,4248,1548,0.13960588,0.944,0.130812808,0.119841459,0.497576767,0.484235133
GSC-FOXC2-1-2,5123,673,0.114171523,0.9598,0.11372318,0.100708432,0.506147713,0.494873508
GSC-SNAI1-1-0,4181,327,0.111669651,0.9567,0.109235548,0.095629334,0.50087709,0.487612139
TWIST1-ZEB1-1-0,4853,363,0.107524997,0.962,0.108798144,0.091565539,0.501108302,0.488334874
miR-200b-ZEB1-2-0,4812,405,0.102958432,0.9526,0.102384726,0.086927105,0.50171936,0.488914246
miR-200b-ZEB1-2-1,4825,971,0.121108085,0.9514,0.108134437,0.108821833,0.505476028,0.494300118
miR-205-ZEB1-2-0,5378,418,0.096488252,0.9587,0.101339844,0.083430894,0.493222771,0.483080799
miR-205-ZEB1-2-1,5378,418,0.108509921,0.9563,0.103643091,0.092841558,0.489086367,0.483156314
ZEB1-CDH1-2-1,5378,418,0.115516104,0.9551,0.104574123,0.092366642,0.503199354,0.483485369
TCF3-CDH1-2-1,5378,418,0.116402604,0.9574,0.10305976,0.09092719,0.491926735,0.48303821
TGF-beta-GSC-1-0,2301,158,0.131319493,0.9217,1,0.103576902,0.515597431,0.501185031
delta-NP63-alpha-miR205-1-2,5378,418,0.107799096,0.9567,0.100572927,0.091885632,0.497396761,0.482981826
OVOL2-CDH1-1-2,5378,418,0.114920227,0.9597,0.104538279,0.092138416,0.49177511,0.482823672
GSC-ZEB1-1-0,5084,379,0.099308149,0.9599,0.100041544,0.082684399,0.501222306,0.488041693
GSC-ZEB1-1-2,5123,673,0.109914722,0.9612,0.101215315,0.096457771,0.504979674,0.49348774
ZEB1-miR-34a-2-0,4353,418,0.115711498,0.8933,0.129477635,0.09884878,0.496892222,0.483257186
GRHL2-OVOL2-1-0,4246,416,0.104248,0.9521,0.103086188,0.089621333,0.501476168,0.488345144
miR-141-ZEB1-2-1,5377,419,0.104289764,0.9532,0.095829212,0.090710648,0.488304713,0.471031795
OVOL2-ZEB1-2-1,5376,420,0.10740155,0.9508,0.09374337,0.094193635,0.48806084,0.470836784
delta-NP63-alpha-ZEB1-2-1,5379,417,0.102991227,0.9598,0.097676219,0.088731134,0.489791794,0.473109829
miR-30c-SNAI1-2-0,5378,418,0.093282285,0.9607,0.100676792,0.077914416,0.50182256,0.483315612
miR-30c-SNAI1-2-1,5378,418,0.105349126,0.9611,0.103954602,0.085688431,0.50611085,0.483238207
miR-9-CDH1-2-0,5378,418,0.104795451,0.9571,0.100437887,0.092776752,0.494618695,0.482971649
miR-9-CDH1-2-1,5378,418,0.106875991,0.9547,0.101892248,0.091670907,0.492677391,0.483065447
miR-200b-ZEB2-2-0,4697,362,0.109055532,0.9542,0.101995073,0.093966671,0.493016298,0.477528872
miR-200b-ZEB2-2-1,4753,1043,0.11683196,0.9546,0.114356959,0.105424965,0.489820662,0.472875618
OVOL2-SNAI2-2-0,4554,418,0.113613306,0.9508,0.105541171,0.098455994,0.501550611,0.488708707
miR-30c-SNAI2-2-1,5378,418,0.106110735,0.9654,0.105457722,0.08755403,0.488503576,0.48309583
miR-30c-ZEB2-2-0,5378,418,0.107418078,0.9597,0.09968413,0.094106614,0.493376997,0.483087223
ZEB1-miR-200b-2-0,4995,418,0.111057135,0.9541,0.112004894,0.097068728,0.502593452,0.489754172
SNAI2-VIM-1-0,5378,418,0.108837628,0.9595,0.116740567,0.092681308,0.509027064,0.494897371
SNAI2-VIM-1-2,5378,418,0.115867972,0.9554,0.109151366,0.091637687,0.497140016,0.482760362
ZEB1-VIM-1-2,5378,418,0.114804208,0.9616,0.110980293,0.092193729,0.496729195,0.483000135
ZEB1-ZEB1-1-0,5377,418,0.095761043,0.956,0.099601793,0.079044171,0.502536463,0.489580153
OVOL2-VIM-2-0,5378,418,0.107359912,0.9595,0.101935479,0.091775369,0.497436005,0.482978758
OVOL2-VIM-2-1,5378,418,0.115583003,0.9578,0.106252719,0.092635329,0.497147317,0.483145716
ZEB2-VIM-1-0,5378,418,0.107675089,0.9611,0.104720527,0.091268665,0.497415173,0.483332234
GSC-SNAI1-1-2,4272,1524,0.126593356,0.9447,0.125583483,0.113317875,0.503893986,0.492439119
miR-34a-ZEB1-2-1,5149,647,0.12620072,0.9539,0.101673927,0.113484613,0.496508908,0.482347706
SNAI1-miR-101-2-0,4795,362,0.109366246,0.958,0.138094552,0.09438543,0.501803854,0.488742566
SNAI1-TWIST1-1-0,4547,356,0.11131856,0.9471,0.130652349,0.09545891,0.51831906,0.511079152
miR-101-ZEB2-2-0,4311,313,0.109590368,0.9541,0.96680378,0.093028877,0.559611212,0.54750494
TWIST2-ZEB2-1-0,4587,334,0.110812726,0.9534,0.106538249,0.094539224,0.497212492,0.482882403
SNAI2-CDH1-2-1,5378,418,0.115632451,0.9593,0.106544603,0.090666516,0.491772395,0.482704572
ZEB1-GRHL2-2-0,4244,5,0.107637943,0.9587,0.097741061,0.091460036,0.488744844,0.477572246
ZEB2-miR-200b-2-0,4169,326,0.112540214,0.9572,0.114094113,0.097360143,0.493292792,0.477733311
ZEB2-miR-200b-2-1,4261,1535,0.121420588,0.9577,0.18691142,0.110103446,0.488424285,0.471376219
miR-101-SNAI1-2-1,4825,971,0.099043864,0.9293,0.125974447,0.085412574,0.50620998,0.495021232
miR-101-SNAI1-2-0,4769,362,0.087820178,0.9463,1.00961613,0.071533288,0.540846162,0.531064519
miR-200a-ZEB2-2-1,5184,612,0.115519332,0.955,0.107212145,0.103914706,0.506203246,0.494757799
miR-141-TGF-beta-2-1,5071,725,0.120428284,0.9423,0.116011249,0.107810446,0.505054978,0.493658122
miR-141-ZEB1-2-0,5377,418,0.094902836,0.9572,0.098152709,0.07834173,0.492639281,0.476425995
OVOL2-delta-NP63-alpha-2-0,4554,414,0.099938596,0.9634,0.109243643,0.080376218,0.496321415,0.477978007
SNAI1-miR-101-2-1,4851,945,0.131522172,0.9623,0.432737747,0.119089213,0.486413081,0.473316302
SNAI1-ZEB2-1-0,4899,373,0.110137703,0.9561,0.108558207,0.093801524,0.493533619,0.477794624
SNAI1-miR-34a-2-1,3977,1819,0.121799746,0.9447,0.378566632,0.113919245,0.493640999,0.480890322
SNAI1-SNAI1-2-0,5378,417,0.098005282,0.9602,0.101087869,0.07912705,0.491941827,0.47583317
TWIST2-SNAI2-1-0,5069,418,0.108283037,0.9536,0.101249825,0.092901566,0.497251288,0.482785196
miR-200b-TGF-beta-2-0,3977,281,0.109155853,0.9514,0.106873999,0.093553704,0.492991791,0.477143605
TGF-beta-SNAI1-1-0,4181,327,0.112496565,0.9346,0.113802047,0.096607126,0.492026374,0.476255751
TGF-beta-SNAI1-1-2,4272,1524,0.131082876,0.8825,0.149453342,0.117932445,0.487721137,0.47125909
delta-NP63-alpha-GRHL2-1-2,5379,417,0.100476238,0.952,0.1373407,0.085198684,0.542001403,0.530574074
delta-NP63-alpha-miR200c-2-1,5378,418,0.10674152,0.9607,0.101160916,0.090808464,0.497127217,0.482981791
ZEB1-miR-141-2-1,4773,1023,0.126077907,0.9408,0.781152658,0.121189179,0.489192151,0.472187889
miR-34a-TWIST2-2-0,3940,339,0.112453691,0.9316,0.495980781,0.097869321,0.520488215,0.510898373
TWIST2-TWIST1-1-2,4257,1539,0.102235452,0.9304,0.203523557,0.088333139,0.496024445,0.481068407
SNAI1-VIM-1-2,5378,418,0.116134601,0.9587,0.108788556,0.091771019,0.49681843,0.482827254
miR-200c-TGF-beta-2-1,4186,1610,0.117088612,0.9284,0.135408791,0.10422186,0.488708401,0.471688685
ZEB2-CDH1-2-1,5378,418,0.114778546,0.9597,0.11850757,0.090752178,0.505103589,0.49564331
TWIST1-SNAI1-1-2,4592,1204,0.100560988,0.9542,0.133903486,0.087717482,0.505538094,0.494097516
TWIST1-SNAI2-1-0,4655,418,0.111882092,0.9559,0.104464519,0.09706246,0.493127187,0.477525528
SNAI2-SNAI2-1-2,5377,419,0.115695617,0.9481,0.10720091,0.102858502,0.507112483,0.495964587
TWIST1-VIM-1-0,5378,418,0.10733554,0.956,0.102918356,0.091564503,0.497132824,0.482805293
TWIST1-VIM-1-2,5378,418,0.115697805,0.9593,0.120344145,0.091891549,0.510086513,0.496032491
TWIST1-ZEB1-1-2,4908,888,0.128911628,0.9637,0.121069584,0.116547601,0.504255934,0.493187626
TWIST1-ZEB2-1-0,4706,348,0.108943536,0.9566,0.120629444,0.092327701,0.505262527,0.49002357
TWIST2-CDH1-2-1,5378,418,0.116622436,0.9592,0.104753675,0.091230369,0.497577055,0.48336912
miR-200c-ZEB2-2-0,5184,418,0.110499931,0.9563,0.100839919,0.094844115,0.492783294,0.476856144
OVOL2-SNAI2-2-1,4554,1242,0.12421267,0.9147,0.122527006,0.111875704,0.505784115,0.494768106
miR-34a-SNAI1-2-0,5194,418,0.099249794,0.9429,0.105727262,0.084506733,0.49728381,0.482804309
delta-NP63-alpha-SNAI2-1-0,4554,6,0.098693928,0.963,0.10011183,0.080412108,0.493822844,0.478200972
SNAI1-FOXC2-1-0,5019,382,0.111677834,0.9578,0.110799968,0.096575049,0.502320401,0.489685172
ZEB1-miR-34a-2-1,4353,1443,0.14493731,0.8407,0.419050681,0.135624006,0.491697183,0.480307294
GSC-FOXC2-1-0,5084,379,0.107832741,0.9581,0.102700556,0.091795573,0.500973679,0.487882253
GRHL2-OVOL2-1-2,4248,1548,0.087652804,0.9482,0.105262731,0.073753931,0.502645687,0.494024873
SNAI1-SNAI2-1-0,4878,418,0.112675055,0.9563,0.106580415,0.098036105,0.492745876,0.476751197
miR-9-ZEB2-2-1,5378,418,0.108530084,0.9603,0.102314079,0.092857091,0.492096589,0.483240021
OVOL2-CDH1-1-0,5378,418,0.106294085,0.9615,0.101563019,0.091027346,0.494991766,0.48334628
SNAI2-miR-200b-2-1,4436,1360,0.129307295,0.9574,0.172023618,0.118274124,0.487196382,0.469583566
ZEB2-ZEB2-1-2,5377,419,0.116655944,0.9567,0.102801862,0.105198082,0.507248791,0.496416895
miR-205-ZEB2-2-0,5378,418,0.104037429,0.9615,0.097967446,0.091154679,0.501012513,0.483057397
WT,5378,418,0.107965084,0.956,0,0.092199442,0.497430347,0.483295741
ZEB1-CDH1-2-0,5378,418,0.105807866,0.9568,0.10299274,0.090078475,0.500130502,0.483063929
KLF8-CDH1-2-0,5378,418,0.110279153,0.9529,1,0.09486432,0.456573973,0.435413866
SNAI1-TWIST1-1-2,4609,1187,0.10607119,0.9481,0.226509045,0.091907124,0.504143755,0.492341151
TWIST2-SNAI1-1-2,4836,960,0.096575454,0.9308,0.128249739,0.083021255,0.496374719,0.482296884
ZEB1-miR-200a-2-1,4950,846,0.122156543,0.9475,0.373088167,0.113607647,0.480928613,0.461267174
TWIST1-FOXC2-1-2,4908,888,0.118149548,0.9594,0.161129028,0.105519809,0.507254149,0.496581653
SNAI2-miR-101-2-0,3744,286,0.109655077,0.9475,0.147634642,0.094168167,0.491585051,0.475179699
CLDN7-CDH1-1-2,5378,418,0.115038004,0.9589,0.103397974,0.091687925,0.497577962,0.483431794
ZEB1-miR-200b-2-1,4995,801,0.118970845,0.9536,0.186271376,0.108610453,0.506031311,0.494719667
miR-101-KLF8-2-1,5378,418,0.117890159,0.9571,0.639173019,0.092116167,0.501359224,0.483449289
delta-NP63-alpha-ZEB1-2-0,5377,416,0.094612785,0.9563,0.10071672,0.076968895,0.493739263,0.477971021
GSC-TWIST1-1-0,4128,329,0.109555616,0.9603,0.105870782,0.093615138,0.500481157,0.487216667
ZEB2-VIM-1-2,5378,418,0.116568709,0.9598,0.113899568,0.092526735,0.497067485,0.483118266
GRHL2-delta-NP63-alpha-1-2,5788,8,0.091279208,0.9591,0.107669501,0.074211842,0.511768107,0.505294652
OVOL2-delta-NP63-alpha-2-1,4558,1238,0.098294594,0.9592,0.12553383,0.078698832,0.506453054,0.486002501
FOXC2-ZEB1-1-2,4330,1466,0.126331621,0.966,0.117963138,0.113677761,0.504344125,0.493008981
