name,Total Positive cycles,Total Negative cycles,Frustration Boolean,Plasticity,JSD RACIPE,no signal Frus,Frustration RACIPE,no signal FrusR
miR-205-ZEB2-2-0,3111,1,0.060662963,0.9423,0.042306754,0.029662667,0.460534547,0.457807769
miR-205-ZEB2-2-1,3111,1,0.060396341,0.9442,0.042846114,0.025094667,0.460752988,0.457380081
miR-30c-SNAI1-2-0,3111,1,0.055765432,0.9518,0.041759803,0.023217333,0.454723189,0.457567715
miR-30c-SNAI1-2-1,3111,1,0.067734146,0.9438,0.042289286,0.029857333,0.44964939,0.457595269
miR-30c-SNAI2-2-0,3111,1,0.058760494,0.9438,0.958693389,0.027609333,0.477858889,0.461301371
miR-30c-SNAI2-2-1,3111,1,0.064413415,0.9476,0.05694082,0.02674,0.486225139,0.471868921
miR-30c-ZEB2-2-0,3111,1,0.062848148,0.945,0.048577853,0.032766667,0.473095888,0.464854531
miR-30c-ZEB2-2-1,3111,1,0.068332927,0.942,0.042642461,0.034613333,0.471822195,0.457511801
miR-34a-SNAI1-2-0,2927,1,0.059455556,0.9294,0.045991633,0.024837838,0.460132337,0.456583603
miR-34a-SNAI1-2-1,2927,185,0.076,0.8777,0.062243817,0.044914667,0.460778802,0.457101351
miR-34a-SNAI2-2-0,2543,1,0.071951852,0.9287,0.046109788,0.038043243,0.46108284,0.457422077
miR-34a-SNAI2-2-1,2543,569,0.080691463,0.8695,0.073646824,0.049405333,0.463171267,0.459528575
miR-34a-TWIST2-2-0,2129,1,0.064412346,0.9062,0.253970381,0.030212162,0.486182566,0.484144961
miR-34a-TWIST2-2-1,2129,983,0.096881707,0.7407,0.212828473,0.066148,0.468574306,0.468349457
miR-34a-ZEB1-2-0,3006,1,0.072444444,0.9411,0.041849691,0.037694595,0.460229609,0.456497131
miR-34a-ZEB1-2-1,3006,106,0.082347561,0.932,0.045169956,0.052596,0.460212378,0.456519946
miR-9-CDH1-2-0,3111,1,0.057724691,0.9449,0.04314924,0.028937333,0.456305021,0.45815879
miR-9-CDH1-2-1,3111,1,0.063640244,0.9435,0.042016147,0.028070667,0.451906463,0.457574032
miR-9-ZEB2-2-0,3111,1,0.059755556,0.9456,0.047562978,0.029681333,0.472466214,0.464440645
miR-9-ZEB2-2-1,3111,1,0.063015854,0.9378,0.05472125,0.029784,0.484757523,0.471320465
SNAI1-CDH1-2-0,3111,1,0.063974074,0.9429,0.043796043,0.028905405,0.456074506,0.457879301
SNAI1-CDH1-2-1,3111,1,0.075992683,0.9405,0.04538558,0.042962667,0.452055488,0.45786371
SNAI1-FOXC2-1-0,2912,1,0.067224691,0.9484,0.051023377,0.032066216,0.467610473,0.466459098
SNAI1-FOXC2-1-2,2912,200,0.079537805,0.9399,0.106302691,0.046512,0.482840752,0.484434313
SNAI1-miR-101-2-0,2800,1,0.065416049,0.9443,0.078622435,0.031739189,0.472183477,0.47151418
SNAI1-miR-101-2-1,2800,312,0.09715,0.9377,0.40336182,0.066810667,0.473215467,0.459627853
SNAI1-miR-34a-2-0,2297,1,0.060233333,0.9406,0.06436757,0.0251,0.468620488,0.464946932
SNAI1-miR-34a-2-1,2297,815,0.09694878,0.9152,0.321139835,0.065217333,0.463493099,0.45560717
SNAI1-SNAI1-2-0,3111,0,0.053012346,0.9533,0.052054924,0.015164865,0.46128597,0.455761386
SNAI1-SNAI1-2-1,3112,0,0.056565854,0.9601,0.050357698,0.022474667,0.448675163,0.441372957
SNAI1-SNAI2-1-0,2697,1,0.071553086,0.934,0.046110824,0.038889189,0.45449644,0.449096776
SNAI1-SNAI2-1-2,2697,415,0.085187805,0.9046,0.070993421,0.053484,0.45047555,0.442853883
SNAI1-TWIST1-1-0,2612,1,0.069812346,0.9316,0.053489287,0.037009459,0.505563992,0.500714098
SNAI1-TWIST1-1-2,2612,500,0.082221951,0.9191,0.067809855,0.049346268,0.472605142,0.475164812
SNAI1-VIM-1-0,3111,1,0.064574074,0.9438,0.051092768,0.030359459,0.473060788,0.465278925
SNAI1-VIM-1-2,3111,1,0.075089024,0.9406,0.048848301,0.041605333,0.477433963,0.463597419
SNAI1-ZEB1-1-0,2912,1,0.078140741,0.9423,0.053807198,0.04687027,0.473568601,0.472212951
SNAI1-ZEB1-1-2,2912,200,0.090319512,0.9372,0.060111099,0.058426667,0.479692326,0.480544405
SNAI1-ZEB2-1-0,2860,1,0.071474074,0.947,0.052338958,0.03612973,0.462291508,0.457333649
SNAI1-ZEB2-1-2,2860,252,0.082863415,0.9419,0.058024058,0.050861333,0.451865142,0.445853737
SNAI2-CDH1-2-0,3111,1,0.065045679,0.9468,0.044422571,0.028852703,0.464877428,0.457367177
SNAI2-CDH1-2-1,3111,1,0.0758,0.9427,0.055643947,0.040933333,0.477211368,0.46480929
SNAI2-miR-101-2-0,2185,1,0.063655556,0.9272,0.105738999,0.030175676,0.469751791,0.46454249
SNAI2-miR-101-2-1,2185,927,0.091635366,0.9055,0.427602656,0.059390667,0.434903784,0.413776163
SNAI2-miR-200b-2-0,2601,1,0.069979012,0.943,0.049507562,0.037325676,0.454690432,0.449335492
SNAI2-miR-200b-2-1,2601,511,0.084434146,0.9347,0.123172825,0.051712,0.458492396,0.451139665
SNAI2-SNAI2-1-0,3110,1,0.064322222,0.9356,0.048895181,0.029425676,0.471783992,0.470242842
SNAI2-SNAI2-1-2,3110,2,0.07572439,0.9307,0.05547976,0.041874667,0.479632689,0.480281955
SNAI2-TWIST2-1-0,2185,1,0.062308642,0.9241,0.065426359,0.02582973,0.468716126,0.465708197
SNAI2-TWIST2-1-2,2185,927,0.094504878,0.8448,0.287967555,0.059149333,0.470189715,0.470748642
SNAI2-VIM-1-0,3111,1,0.064644444,0.9464,0.057046871,0.02857973,0.468924583,0.471693702
SNAI2-VIM-1-2,3111,1,0.074304878,0.9424,0.042613474,0.041921333,0.451359146,0.457633226
TCF3-CDH1-2-0,3111,1,0.062491358,0.9465,1,0.029694595,0.483565329,0.478017186
TCF3-CDH1-2-1,3111,1,0.075630488,0.9442,0.051190408,0.041578667,0.478532215,0.466239624
TGF-beta-GSC-1-0,1404,1,0.085355556,0.9003,1,0.032394203,0.468888621,0.470624107
TGF-beta-GSC-1-2,1404,1708,0.11855122,0.6919,0.152878301,0.089388,0.469542441,0.456233607
TGF-beta-SNAI1-1-0,2440,1,0.065407407,0.9237,0.059587211,0.0314,0.462757031,0.457154461
TGF-beta-SNAI1-1-2,2440,672,0.085792683,0.8422,0.089407275,0.054544,0.458500015,0.45065576
TGF-beta-SNAI2-1-0,2587,1,0.071122222,0.9285,0.046978666,0.039601351,0.466954012,0.465084372
TGF-beta-SNAI2-1-2,2587,525,0.085602439,0.8671,0.091876209,0.053450667,0.491736924,0.491658319
TWIST1-CDH1-2-0,3111,1,0.064587654,0.9453,0.043172439,0.029344595,0.455872366,0.457754785
TWIST1-CDH1-2-1,3111,1,0.07472439,0.9395,0.044846538,0.041241333,0.451482215,0.457338495
TWIST1-FOXC2-1-0,2832,1,0.065734568,0.9448,0.056588701,0.032894595,0.478005144,0.476885137
TWIST1-FOXC2-1-2,2832,280,0.080181707,0.9425,0.111587261,0.047257333,0.492324628,0.494019121
TWIST1-SNAI1-1-0,2632,1,0.0552,0.944,0.048823437,0.020721622,0.466253169,0.464744699
TWIST1-SNAI1-1-2,2632,480,0.069562195,0.9312,0.068985259,0.035474667,0.472161545,0.471734985
TWIST1-SNAI2-1-0,2522,1,0.072483951,0.9412,0.04473379,0.039308108,0.455211502,0.449830929
TWIST1-SNAI2-1-2,2522,590,0.083520732,0.9129,0.061350527,0.052250667,0.45209168,0.445327079
TWIST1-TCF3-1-0,3111,1,0.069895062,0.939,1.00665,0.030184932,0.479309979,0.484846311
TWIST1-TCF3-1-2,3111,1,0.074421951,0.9414,0.041927051,0.041624,0.432944573,0.443231156
TWIST1-VIM-1-0,3111,1,0.064008642,0.9431,0.045026164,0.028863514,0.464967922,0.457235
TWIST1-VIM-1-2,3111,1,0.075063415,0.9407,0.050166539,0.042062667,0.478612787,0.465896306
TWIST1-ZEB1-1-0,2832,1,0.076839506,0.9484,0.05369113,0.043221622,0.473429224,0.471858271
TWIST1-ZEB1-1-2,2832,280,0.086410976,0.9473,0.071220956,0.054856,0.490170922,0.491095507
TWIST1-ZEB2-1-0,2797,1,0.070845679,0.9473,0.045841272,0.036336486,0.455127037,0.449675656
TWIST1-ZEB2-1-2,2797,315,0.079656098,0.9389,0.052384211,0.050081333,0.45023874,0.443773433
TWIST2-CDH1-2-0,3111,1,0.063876543,0.9451,0.050264503,0.029605405,0.467152551,0.464706505
TWIST2-CDH1-2-1,3111,1,0.076292683,0.9396,0.04509836,0.041894667,0.461033679,0.457628253
TWIST2-SNAI1-1-0,2754,1,0.053753086,0.9298,0.054342632,0.017656757,0.467543516,0.464117482
TWIST2-SNAI1-1-2,2754,358,0.068209756,0.89,0.066198497,0.034096,0.460870674,0.457470866
TWIST2-SNAI2-1-0,2844,1,0.063314815,0.9367,0.041360384,0.030297297,0.45967572,0.456093251
TWIST2-SNAI2-1-2,2844,268,0.07664878,0.9184,0.049823698,0.043218667,0.460074844,0.456208603
TWIST2-TWIST1-1-0,2406,1,0.065955556,0.9295,0.044494811,0.031251351,0.460827675,0.457534508
TWIST2-TWIST1-1-2,2406,706,0.072864634,0.8979,0.062534853,0.040789333,0.461227984,0.459723872
TWIST2-ZEB1-1-0,2897,1,0.076124691,0.9417,0.044996769,0.043139189,0.460624403,0.456999317
TWIST2-ZEB1-1-2,2897,215,0.08552439,0.939,0.061246721,0.055841333,0.471640407,0.46862957
TWIST2-ZEB2-1-0,2746,1,0.070444444,0.9476,0.052205951,0.037597297,0.467807854,0.464441546
TWIST2-ZEB2-1-2,2746,366,0.081786585,0.9441,0.05394563,0.049749333,0.461740244,0.458879516
WT,3111,1,0.06227561,0.9385,0,0.029825333,0.460601667,0.457145457
ZEB1-CDH1-2-0,3111,1,0.063122222,0.9452,0.052915022,0.027291892,0.464203169,0.466548374
ZEB1-CDH1-2-1,3111,1,0.0744,0.9398,0.049206999,0.040998667,0.452287195,0.458147231
ZEB1-miR-141-2-0,2506,1,0.078049383,0.9259,1,0.029695775,0.472809136,0.452026552
ZEB1-miR-141-2-1,2506,606,0.096702439,0.9051,0.777782291,0.065052,0.447329661,0.436923795
ZEB1-miR-200a-2-0,2683,1,0.06358642,0.9374,0.061872207,0.026975676,0.460169774,0.454613716
ZEB1-miR-200a-2-1,2683,429,0.086240244,0.9222,0.332787328,0.054561333,0.44973511,0.439842092
ZEB1-miR-200b-2-0,2728,1,0.066420988,0.9422,0.054484068,0.031063514,0.466600529,0.464889754
ZEB1-miR-200b-2-1,2728,384,0.075442683,0.934,0.142114549,0.042970667,0.480701768,0.480733871
ZEB1-miR-200c-2-0,2683,1,0.062738272,0.936,0.053677361,0.028401351,0.466083004,0.463797978
ZEB1-miR-200c-2-1,2683,429,0.08814878,0.928,0.327761146,0.055408,0.462756799,0.452270892
ZEB1-miR-34a-2-0,2086,1,0.065841975,0.8851,0.076648455,0.030925676,0.471525761,0.467248033
ZEB1-miR-34a-2-1,2086,1026,0.100076829,0.7984,0.367173578,0.068088,0.463996791,0.45515509
ZEB1-VIM-1-0,3111,1,0.062924691,0.9452,0.042252081,0.028514865,0.465434218,0.457439731
ZEB1-VIM-1-2,3111,1,0.07412561,0.9418,0.042175309,0.040838667,0.471441362,0.457596425
ZEB1-ZEB1-1-0,3110,1,0.063369136,0.9402,0.046443864,0.028814865,0.472445041,0.470993306
ZEB1-ZEB1-1-2,3110,2,0.067297561,0.9372,0.053030131,0.032698667,0.484185163,0.485254758
ZEB2-CDH1-2-0,3111,1,0.062983951,0.9448,0.04306946,0.028528378,0.465353395,0.458061075
ZEB2-CDH1-2-1,3111,1,0.073768293,0.9436,0.055731345,0.041381333,0.478054686,0.465846824
ZEB2-miR-200a-2-0,2193,1,0.06282716,0.9416,0.059109836,0.029686486,0.472035735,0.470053942
ZEB2-miR-200a-2-1,2193,919,0.085830488,0.9333,0.33019204,0.052608,0.469419887,0.466069712
ZEB2-miR-200b-2-0,2386,1,0.064292593,0.9467,0.061751223,0.02915,0.462154909,0.457059173
ZEB2-miR-200b-2-1,2386,726,0.07267439,0.935,0.132520394,0.038390667,0.457475293,0.450200731
ZEB2-miR-200c-2-0,2193,1,0.064454321,0.9458,0.050369048,0.029277027,0.454713395,0.448583005
ZEB2-miR-200c-2-1,2193,919,0.084686585,0.9281,0.319385721,0.053870667,0.439271725,0.421111444
ZEB2-VIM-1-0,3111,1,0.063638272,0.9448,0.041656572,0.028254054,0.455794403,0.457435457
ZEB2-VIM-1-2,3111,1,0.073984146,0.9463,0.0654791,0.041196,0.47324203,0.480106515
ZEB2-ZEB2-1-0,3110,1,0.064058025,0.9427,0.042082943,0.029716216,0.466419938,0.464872186
ZEB2-ZEB2-1-2,3110,2,0.070918293,0.9404,0.043247521,0.037814667,0.472488028,0.473188038
